Symbol,EPS Next 5Y in percent,DCF value,Current Price,Sector,Market Cap,Beta,Total Assets,Total Debt,Free Cash Flow,P/E Ratio,P/S Ratio,RSI,10 day EMA,20 day SMA,50 day SMA,200 day SMA
AAPL,15.43,140.44875042377538,161.83999633789062,Technology,2655211749376,1.205714,62639000000,126247000000,92953000000,28.848484,7.258306063895335,"[64.88818918008074, 71.31168899819892, 69.86984747379786, 67.0861313726175, 62.02700117696117]","[156.32182377912542, 157.94713290258005, 159.55769043188047, 160.86304489019284, 161.443741277621]","[153.70350189208983, 154.5205017089844, 155.25800170898438, 155.87150115966796, 156.41550064086914]","[148.56980041503908, 149.0170004272461, 149.44380065917966, 149.80200042724607, 150.10220031738282]","[138.31065006256102, 138.47120006561278, 138.64085010528566, 138.8111000442505, 138.97095005035402]"
ADBE,18.0,361.6159068904185,616.530029296875,Technology,293345001472,1.046233,5992000000,5500000000,5308000000,50.969746,22.79647198259248,"[62.810505460147155, 54.713416922497544, 49.83440289979887, 54.87507474804971, 38.81062878847917]","[670.8829874513518, 672.7773138460014, 672.1971638933992, 672.4464205747399, 669.4820408831292]","[663.6094970703125, 665.0919952392578, 665.9424926757813, 666.7774932861328, 663.8999938964844]","[631.1762011718749, 631.747401123047, 631.9778002929688, 632.8938000488281, 632.6076000976564]","[567.4260514831543, 568.2671012878418, 569.0980010986328, 570.0155511474609, 570.7026013183594]"
BA,12.33,-743.0900518612754,198.49000549316406,Industrials,116652376064,1.523116,25590000000,75087000000,-19713000000,,2.0057838313559615,"[32.99599035460629, 32.56248401275742, 26.90503612114641, 42.66379019898775, 40.110809145562655]","[218.88088235555753, 215.1786970607823, 211.76146554269462, 208.61734814315219, 204.76902393572095]","[216.7380012512207, 215.90150146484376, 214.67250137329103, 214.12250137329102, 213.3955017089844]","[217.58120025634764, 217.34820037841797, 216.94180053710937, 216.64980072021484, 216.1976007080078]","[229.90995002746584, 229.8133000946045, 229.67665008544924, 229.6461501312256, 229.5512501525879]"
CAT,32.1,534.759610617815,197.8000030517578,Industrials,106998333440,0.90961,8822000000,25674000000,4212000000,21.159607,2.562957110280732,"[40.321551759599046, 37.67090225249405, 35.816069037305724, 44.190304801435374, 45.64039310899459]","[203.3833382157865, 202.04670924322787, 200.84401513706436, 200.23600989904327, 199.8880981152825]","[205.0730003356934, 204.47150039672852, 203.68900070190432, 203.35100021362305, 203.0615005493164]","[199.95020050048828, 200.00080047607423, 200.0334005737305, 200.14220031738282, 200.16580047607422]","[215.93075080871586, 215.88560081481936, 215.83145080566408, 215.81580078125, 215.75525077819825]"
DIS,50.69,158.40171178559632,146.22000122070312,Communication Services,265778249728,1.16935,15959000000,58566000000,1989000000,133.65631,3.9422446487288263,"[20.783731370748285, 18.523473484503313, 16.677638510274576, 30.39457590771768, 29.383651738836434]","[154.81470444335747, 153.609543676104, 152.03407904964087, 150.82749445755843, 149.72917884731322]","[162.0400001525879, 160.7754997253418, 159.3914993286133, 158.24749908447268, 157.04449920654298]","[168.8316000366211, 168.15739990234374, 167.57699981689453, 167.04799987792967, 166.44739990234376]","[178.61624977111816, 178.40899971008298, 178.1875496673584, 178.00854965209962, 177.8213996887207]"
DOCU,46.8,167.0597580263864,135.08999633789062,Technology,26574632960,0.900509,773505000,972773000,214559000,,18.28890115736105,"[41.06133071185112, 37.860968476619554, 30.185922261397394, 33.03105947227894, 13.592781757461964]","[258.5190394686994, 256.90840345353433, 253.5045233406978, 249.98398519546862, 240.87086859185487]","[263.98349685668944, 262.40349731445315, 259.84999771118163, 257.3804985046387, 249.92949905395508]","[265.8416000366211, 265.3429998779297, 264.53559967041014, 263.73119964599607, 260.9589993286133]","[252.35924957275392, 252.26759956359865, 252.14664955139162, 252.01079963684083, 251.36044960021974]"
ENPH,43.51,162.20902783462006,217.10000610351562,Technology,29289396224,1.290389,679379000,401907000,195776000,188.45488,37.82082993705007,"[62.66502091073606, 58.23965195361956, 50.69033712616336, 49.70809554398862, 41.39495647464226]","[253.9186663903574, 255.30594140100914, 254.89313470728393, 253.75167237016467, 251.51032003917308]","[247.652498626709, 248.17599868774414, 248.13849868774415, 248.05949859619142, 246.7844985961914]","[200.5383999633789, 202.48959991455078, 204.14100006103516, 205.6767999267578, 206.85239990234376]","[170.44409965515138, 170.72659965515138, 170.96419967651366, 171.23499969482424, 171.37179969787599]"
ETSY,52.8,788.3813351381664,231.3300018310547,Consumer Cyclical,29328248832,1.60987,1669218000,1198042000,676631000,68.70508,16.995725509308222,"[58.026002222464, 54.316427117764505, 47.122658827027166, 43.20754196831183, 36.99875224761178]","[284.62640748198237, 286.1329054218164, 284.47614858944036, 282.8402170696756, 278.56791912509647]","[270.1919990539551, 271.739998626709, 272.6724983215332, 273.1694984436035, 271.17249908447263]","[241.4516000366211, 242.58999969482423, 243.36379974365235, 243.96759979248048, 244.12099975585937]","[207.77835021972658, 208.0096501159668, 208.19400009155274, 208.33770004272463, 208.3580000305176]"
GOOGL,24.41,3098.436939796548,2840.030029296875,Communication Services,1888406994944,1.043636,136694000000,36825000000,42843000000,27.35928,10.345904961698817,"[50.191192421937885, 42.95976933235308, 41.46170612959971, 46.046890609731165, 44.16984589559826]","[2947.500739177093, 2937.4092973883944, 2927.174320203192, 2917.3456443114455, 2898.972333773897]","[2939.9920166015627, 2938.3925170898438, 2934.0115234375003, 2930.379528808594, 2924.113525390625]","[2851.50400390625, 2852.775205078125, 2853.5826074218753, 2854.6556103515627, 2854.9698095703125]","[2523.7076525878906, 2527.343902587891, 2530.8559521484376, 2534.6235021972657, 2538.3796020507816]"
GS,17.45,-1877.8355828937792,382.7300109863281,Financial Services,127670304768,1.531948,406062000000,514604000000,-20037000000,6.3125515,3.079212405769138,"[39.90994449288889, 36.844146874904006, 34.52333512919644, 43.86216086581817, 41.11561402458293]","[396.53638556651026, 394.19034259762986, 391.6098255395908, 391.38559605723606, 390.8891485333118]","[402.4745010375977, 400.6889999389649, 398.32050018310554, 396.8025009155274, 395.53550109863284]","[398.3566003417969, 398.41380004882814, 398.42660034179687, 398.4680004882813, 398.28540100097655]","[372.8083500671387, 373.1535000610352, 373.4722001647949, 373.86040023803713, 374.1959503173828]"
HD,10.6,304.6965056398733,407.80999755859375,Consumer Cyclical,425851518976,1.008831,7895000000,41563000000,16376000000,27.26914,3.2234616529861477,"[72.47413173032228, 64.9074228750159, 64.68493409724991, 69.09836526875296, 69.12098728380107]","[398.1782874933356, 403.0658942042483, 404.7941321365781, 406.7078714920365, 406.9217227005543]","[385.1494995117188, 386.8559982299805, 388.5124984741211, 390.45249786376957, 392.23399810791017]","[361.43159912109377, 362.8195989990234, 364.1435992431641, 365.58039916992186, 367.0183990478516]","[324.78874946594243, 325.414849319458, 326.01234931945805, 326.63594932556157, 327.2767992401123]"
JNJ,8.12,150.83586983642957,159.3800048828125,Healthcare,419583819776,0.701298,25185000000,64231000000,20189000000,23.820057,5.080691414511286,"[40.62314885652034, 31.785612693716942, 39.73257337916578, 37.56256079433165, 45.0399026051174]","[161.87805141752787, 161.2473632168136, 160.81546446202418, 160.16884789599806, 159.7324783689586]","[162.68799896240233, 162.33349838256837, 161.95799865722657, 161.55949859619142, 161.29849853515626]","[162.41879943847658, 162.26119934082033, 162.13219940185547, 161.99539947509766, 161.88579956054687]","[165.73500007629394, 165.68930000305176, 165.6513999938965, 165.60814994812011, 165.5901499938965]"
JPM,10.7,-551.8413869348474,158.2899932861328,Financial Services,467789643776,1.13922,799493000000,783300000000,-79910000000,10.0126505,4.583342090434339,"[39.62339855265965, 35.7499136461599, 34.33418376016962, 42.93035946191083, 38.19451503932425]","[164.5307988147282, 163.84652874155893, 163.23786068629445, 162.90505187207881, 162.6135003932638]","[166.45899963378906, 165.9104995727539, 165.2814994812012, 164.8154998779297, 164.3154998779297]","[166.21519989013674, 166.33259979248047, 166.43079986572266, 166.53679992675782, 166.47899993896485]","[158.22594955444336, 158.29684959411622, 158.36079956054687, 158.43889961242678, 158.49024955749513]"
KO,9.71,38.633639252099876,53.540000915527344,Consumer Defensive,230847348736,0.662337,10914000000,49042000000,8667000000,32.059883,6.992407728115345,"[42.23867430510917, 30.726298435003343, 30.104027070265033, 37.14145391597104, 41.04344711183245]","[55.636461755685495, 55.280387291243066, 54.94389230337349, 54.66656914707416, 54.47135620125168]","[55.963500404357916, 55.77750053405762, 55.58750057220459, 55.426500511169436, 55.27350063323975]","[54.837200317382816, 54.80500030517578, 54.770000305175785, 54.74880027770996, 54.73880027770996]","[54.43460000991821, 54.445500011444096, 54.45635000228882, 54.46784999847412, 54.485]"
LMT,4.35,321.3009677401265,333.80999755859375,Industrials,92777152512,0.971615,3160000000,15606000000,6417000000,13.469313,1.4186542786017922,"[46.56142577790827, 37.09729963116705, 32.66759336915163, 36.20039463888202, 41.351832246880036]","[342.19325319091826, 341.9045793135865, 341.3957487298269, 340.66499900891773, 340.02176823345087]","[339.0500015258789, 339.1695022583008, 339.27500305175784, 339.2340026855469, 339.1495025634766]","[347.0280004882813, 346.9252008056641, 346.77260131835936, 346.54860107421877, 346.34080078125004]","[363.654951171875, 363.6464012145996, 363.60350128173826, 363.5665512084961, 363.5585011291504]"
MCD,21.61,236.98958960667844,249.3300018310547,Consumer Cyclical,186043564032,0.627183,3449100000,39813100000,4624400000,36.181976,9.685834089900977,"[50.08150984470971, 40.46151623927266, 39.85402117701231, 48.9359894346237, 49.871132119452284]","[253.02836590970722, 252.55777011936777, 252.09173827070185, 251.79708868349834, 251.35997860008192]","[252.40849990844728, 252.1095001220703, 251.85649948120118, 251.77649993896486, 251.56999969482422]","[246.92779998779295, 247.03800018310545, 247.1116000366211, 247.225, 247.31600006103517]","[235.00360023498536, 235.15145027160645, 235.30510025024415, 235.47195030212404, 235.6574002838135]"
MMM,8.0,194.6068312999914,172.58999633789062,Industrials,100046110720,0.953056,5038000000,21030000000,6612000000,17.661686,3.108566701466567,"[37.92820875008934, 27.517684649578158, 29.82978953249915, 29.147743857459815, 36.8557023443874]","[180.44446359730864, 179.3424075296057, 178.14012133486003, 176.77469340951944, 176.1837959451799]","[180.59350051879883, 180.11650009155272, 179.55449981689452, 178.95599975585938, 178.55499954223635]","[179.94159942626953, 179.73179931640624, 179.57799926757812, 179.38639923095704, 179.2075991821289]","[191.19635025024414, 191.16340019226072, 191.13380020141602, 191.08825019836428, 191.06850021362305]"
MSFT,16.75,244.3720958833945,323.010009765625,Technology,2432772603904,0.862337,130256000000,70956000000,56118000000,44.01881,14.473208104707059,"[58.74528471012009, 51.05738728848244, 50.45693151471896, 49.72834364033062, 42.474068396769965]","[338.4479447410207, 338.41135722294814, 337.7384009216373, 337.0206603347538, 335.46820260841486]","[336.1349975585938, 336.1959976196289, 336.0434967041016, 335.8179962158203, 335.14649658203126]","[314.54579956054687, 315.2715997314453, 315.9771997070312, 316.59539978027345, 317.06440002441406]","[276.2113496398926, 276.6457996368408, 277.07519958496096, 277.5036995697022, 277.91389961242675]"
NKE,14.95,22.783127100240737,170.24000549316406,Consumer Cyclical,268974112768,0.853804,8787000000,12983000000,1399000000,79.5886,7.191244359222522,"[52.7543160438343, 51.505357441547574, 46.70433532193042, 52.85323049093237, 53.27545343070775]","[171.5025380576849, 171.83675299647714, 171.541691258855, 171.41803681038724, 171.36201630431893]","[171.2280014038086, 171.37350158691407, 171.31700134277344, 171.19200134277344, 170.93200149536133]","[161.6074005126953, 161.9072006225586, 162.14080047607422, 162.3920004272461, 162.6052005004883]","[150.1678002166748, 150.30545021057128, 150.41900016784666, 150.54355018615723, 150.68465019226073]"
NVDA,32.6,460.0041098610838,306.92999267578125,Technology,191217385472,1.359716,11561000000,7481000000,4694000000,36.28014,11.467309473583208,"[69.52838275827303, 65.40304822290199, 58.74803472457729, 61.12030852282457, 54.16392651760221]","[312.2844118691452, 315.2275570402098, 317.4890352232494, 322.06508816706196, 322.12337772737845]","[302.74149932861326, 306.16600036621094, 308.6830001831055, 311.44700012207034, 311.89299926757815]","[252.4514001464844, 254.76400024414065, 256.8018002319336, 258.8388003540039, 260.48100006103516]","[191.73316238403322, 192.60044990539552, 193.42689994812014, 194.29175003051756, 195.08007499694824]"
